id,group,id_def
A23B4,A,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS - General methods for preserving meat, sausages, fish or fish products"
A41D13,A,"OUTERWEAR - Professional, industrial, or sporting protective garments, e.g. garments affording protection against blows or punches, surgeon's gowns "
A42B3,A,HATS - Helmets
A61B1,A,"DIAGNOSIS - Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes "
A61B18,A,"DIAGNOSIS - Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body "
A61B2017,A,
A61B2018,A,
A61B5,A,"DIAGNOSIS - Detecting, measuring or recording for diagnostic purposes "
A61B8,A,"DIAGNOSIS - Diagnosis using ultrasonic, sonic or infrasonic waves "
A61C13,A,DENTISTRY - Dental prostheses
A61F13,A,FILTERS IMPLANTABLE INTO BLOOD VESSELS - Bandages or dressings 
A61F2002,A,
A61F2310,A,FILTERS IMPLANTABLE INTO BLOOD VESSELS - Prostheses classified in A61F2/28 or A61F2/30-A61F2/44 being constructed from or coated with a particular material
A61K6,A,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES  - Preparations for dentistry "
A63B2220,A,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING - Measuring of physical parameters relating to sporting activity"
A63B24,A,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING - Electric or electronic controls for exercising apparatus of preceding groups; "
B01D2046,B,
B01D46,B,SEPARATION  - Filters 
B01J20,B,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY - Solid sorbent compositions or filter aid compositions"
B01J35,B,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY - Catalysts, in general, characterised by their form or physical properties"
B01L2200,B,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE  - Solutions for specific problems relating to chemical or physical laboratory apparatus
B01L2300,B,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE  - Additional constructional details
B01L2400,B,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE  - Moving or stopping fluids
B01L3,B,"CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE  - Containers or dishes for laboratory use, e.g. laboratory glassware "
B06B1,B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY,  - Methods or apparatus for generating mechanical vibrations of infrasonic, sonic, or ultrasonic frequency"
B22F2998,B,WORKING METALLIC POWDER - Supplementary information concerning processes or compositions relating to powder metallurgy
B22F2999,B,WORKING METALLIC POWDER - Aspects linked to processes or compositions used in powder metallurgy
B22F3,B,WORKING METALLIC POWDER - Manufacture of workpieces or articles from metallic powder characterised by the manner of compacting or sintering
B23K1,B,"SOLDERING OR UNSOLDERING - Soldering, e.g. brazing, or unsoldering "
B23K26,B,"SOLDERING OR UNSOLDERING - Working by laser beam, e.g. welding, cutting or boring"
B28B1,B,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS, SLAG, OR MIXTURES CONTAINING CEMENTITIOUS MATERIAL, e.g. PLASTER  - Producing shaped "
B29B11,B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED - Making preforms 
B29B15,B,"PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED - Pretreatment of the material to be shaped, not covered by groups B29B7/00-B29B13/00"
B29B2911,B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED - Indexing scheme related to making preforms for blow-moulding bottles or the like 
B29C2035,B,
B29C2043,B,
B29C2791,B,SHAPING OR JOINING OF PLASTICS - Shaping characteristics in general
B29C2793,B,SHAPING OR JOINING OF PLASTICS - Shaping techniques involving a cutting or machining operation
B29C2947,B,SHAPING OR JOINING OF PLASTICS - Indexing scheme relating to extrusion moulding
B29C31,B,"SHAPING OR JOINING OF PLASTICS - Handling, e.g. feeding of the material to be shaped, "
B29C33,B,SHAPING OR JOINING OF PLASTICS - Moulds or cores
B29C35,B,"SHAPING OR JOINING OF PLASTICS - Heating, cooling or curing, e.g. crosslinking, vulcanising"
B29C37,B,"SHAPING OR JOINING OF PLASTICS - Component parts, details, accessories or auxiliary operations, not covered by group B29C33/00 or B29C35/00"
B29C43,B,"SHAPING OR JOINING OF PLASTICS - Compression moulding, i.e. applying external pressure to flow the moulding material"
B29C44,B,"SHAPING OR JOINING OF PLASTICS - Shaping by internal pressure generated in the material, e.g. swelling, foaming "
B29C45,B,"SHAPING OR JOINING OF PLASTICS - Injection moulding, i.e. forcing the required volume of moulding material through a nozzle into a closed mould"
B29C47,B,"SHAPING OR JOINING OF PLASTICS - Extrusion moulding, i.e. expressing the moulding material through a die or nozzle which imparts the desired form"
B29C49,B,"SHAPING OR JOINING OF PLASTICS - Blow-moulding, i.e. blowing a preform or parison to a desired shape within a mould"
B29C51,B,"SHAPING OR JOINING OF PLASTICS - Shaping by thermoforming, "
B29C53,B,"SHAPING OR JOINING OF PLASTICS - Shaping by bending, folding, twisting, straightening or flattening"
B29C55,B,"SHAPING OR JOINING OF PLASTICS - Shaping by stretching, e.g. drawing through a die"
B29C59,B,SHAPING OR JOINING OF PLASTICS - Surface shaping 
B29C65,B,SHAPING OR JOINING OF PLASTICS - Joining 
B29C66,B,SHAPING OR JOINING OF PLASTICS - General aspects of processes or apparatus for joining preformed parts 
B29C70,B,"SHAPING OR JOINING OF PLASTICS - Shaping composites, i.e. plastics material comprising reinforcements, fillers or preformed parts, e.g. inserts "
B29D11,B,"PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE  - Producing optical elements, e.g. lenses or prisms "
B29D99,B,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE  - Subject matter not provided for in other groups of this subclass 
B29K2023,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of polyalkenes "
B29K2063,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of "
B29K2067,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of polyesters "
B29K2077,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of "
B29K2101,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of unspecified macromolecular compounds as moulding material "
