source,target
B29C43,A61F2002
B29C43,B29B2911
B29C43,B29C2043
B29C70,B29C2035
B29C70,B29C2043
B32B1,B32B2307
B32B1,B32B2439
B32B1,B32B25
B32B1,B32B2597
B32B1,B32B27
B32B1,B32B3
B32B1,B32B5
B32B1,B32B7
B32B1,Y10T29
B32B1,Y10T428
B32B27,A23B4
B32B27,A61F13
B32B27,B29B2911
B32B27,B29C2947
B32B27,B29C45
C04B35,C23C4
C04B35,F01D5
C04B35,F01N2330
C04B35,F01N3
C04B35,F27D1
C04B37,C04B38
C04B37,C04B41
C04B37,H01L2924
C04B37,Y10T428
C23C26,C04B41
C23C26,C23C28
C23C26,Y10T428
D04B1,D02G3
D04B1,D03D15
D04B1,D10B2403
D04B1,D10B2501
D04B1,Y10T428
D04B1,Y10T442
D04C1,D07B2201
D04C1,D07B2205
D04C1,Y10T428
D06N3,B32B2262
D06N3,B32B2307
D06N3,B32B27
D06N3,B32B5
D06N3,C08G18
D06N3,D06M15
D06N3,D06N2209
D06N3,Y10T428
D06N3,Y10T442
E04C2,B29C44
E04C2,B29C47
E04C2,B29C70
E04C2,B29D99
E04C2,B29L2031
